CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
PETTY THEFT,02/24/2024 09:00:00 PM,24-011571,THEFT,32X,1362 104TH AV,Oakland,CA,POINT (-122.167604026 37.739470013)
,04/07/2024 07:48:00 PM,24-017115,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,19X,1541 E 12TH ST,Oakland,CA,POINT (-122.246714021 37.787978015)
STOLEN VEHICLE,02/23/2024 11:00:00 AM,24-009715,VEHICLE THEFT - AUTO,30X,7420 LOCKWOOD ST,Oakland,CA,POINT (-122.180044028 37.762327002)
,04/24/2024 03:00:00 AM,24-020207,VANDALISM,23X,3725 SAN LEANDRO ST,Oakland,CA,POINT (-122.221965067 37.772861626)
,04/22/2024 03:50:00 AM,24-019736,ATTEMPTED BURGLARY,32X,10950 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.163675009 37.736930003)
,04/23/2024 11:00:00 PM,24-907762,VANDALISM,12Y,473 65TH ST,Oakland,CA,POINT (-122.259578985 37.850884994)
OTHER,03/20/2024 09:05:00 AM,24-014093,OBSTRUCT/RESIST EXECUTIVE OFFICER-FEL,21X,2023 24TH AV,Oakland,CA,POINT (-122.230259667 37.786872523)
WEAPONS,03/10/2024 11:35:00 PM,24-012381,CARRY CONCEALED WEAPON IN VEHICLE,02X,1050 7TH ST,Oakland,CA,POINT (-122.286394035 37.804002998)
MISDEMEANOR ASSAULT,03/05/2024 05:40:00 AM,24-011286,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,07X,2210 MAGNOLIA ST,Oakland,CA,POINT (-122.284525038 37.816095989)
,03/23/2024 08:35:00 PM,24-905471,BURGLARY-AUTO,,TELEGRAPH AVE,Oakland,CA,POINT (-122.261462977 37.843326577)
,03/12/2024 02:24:00 PM,24-905622,GRAND THEFT,02X,1101 10TH,Oakland,CA,POINT (-122.286787984 37.805558009)
,04/25/2024 05:30:00 PM,24-907007,BURGLARY-AUTO,,68TH AVE,Oakland,CA,POINT (-122.189163011 37.762343043)
STOLEN VEHICLE,03/05/2024 10:51:00 AM,24-011255,VEHICLE THEFT - AUTO,26X,5051 COLISEUM WY,Oakland,CA,POINT (-122.213906598 37.763623994)
STOLEN VEHICLE,03/14/2024 09:43:00 PM,24-013120,VEHICLE THEFT - AUTO,27X,5033 FOOTHILL BLVD,Oakland,CA,POINT (-122.205449996 37.772404984)
BURG - AUTO,03/15/2024 07:30:00 AM,24-013135,BURGLARY-AUTO,32X,1307 99TH AV,Oakland,CA,POINT (-122.171355194 37.743038606)
STOLEN VEHICLE,05/06/2024 04:00:00 PM,24-022336,VEHICLE THEFT - AUTO,10Y,4102 LUSK ST,Oakland,CA,POINT (-122.271361007 37.831240999)
NARCOTICS,04/05/2024 08:35:00 AM,24-016737,POSSESS CONTROLLED SUBSTANCE,30Y,2651 73RD AV,Oakland,CA,POINT (-122.174599095 37.767716318)
,03/31/2024 06:16:00 PM,24-016046,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,04X,638 21 ST ST,Oakland,CA,POINT (-122.272307797 37.810885855)
HOMICIDE,04/03/2024 07:43:00 PM,24-016555,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,27X,2159 COURTLAND AV,Oakland,CA,POINT (-122.208486005 37.776993992)
,02/24/2024 05:10:00 AM,24-904725,ATTEMPT VEHICLE THEFT-AUTO,14X,259 MACARTHUR BOULEVARD,Oakland,CA,POINT (-122.252455038 37.815301008)
DOMESTIC VIOLENCE,03/24/2024 12:20:00 PM,24-014759,THEFT,27Y,6528 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.19370301 37.762747019)
,03/08/2024 08:05:00 AM,24-904283,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,06X,862 37TH ST,Oakland,CA,POINT (-122.2737498 37.827037629)
