CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
,04/24/2024 05:00:00 PM,24-020400,THEFT,22X,3606 FRUITVALE AVE,Oakland,CA,POINT (-122.215347064 37.802150222)
,05/13/2024 02:25:00 PM,24-023619,VEHICLE THEFT - AUTO,27X,5037 FAIRFAX AV,Oakland,CA,POINT (-122.201285028 37.775927981)
OTHER,02/29/2024 08:04:00 AM,24-010460,VIOLATION OF PROBATION-FELONY,21X,2633 E 27TH ST,Oakland,CA,POINT (-122.22230198 37.790566011)
,05/21/2024 03:40:00 PM,24-025131,INFLICT CRPL INJ SP/COHAB,30Y,2765 77TH AV,Oakland,CA,POINT (-122.169748033 37.766984993)
STOLEN VEHICLE,05/14/2024 11:35:00 AM,24-023766,CARRY STOLEN LOADED FIREARM,31X,8000 COLLINS DR,Oakland,CA,POINT (-122.198383911 37.745791909)
,03/25/2024 08:30:00 PM,24-906283,BURGLARY-AUTO,11X,542 51ST ST,Oakland,CA,POINT (-122.263673964 37.837378018)
STOLEN VEHICLE,03/10/2024 08:14:00 AM,24-012267,VEHICLE THEFT - AUTO,14X,568 BELLEVUE AV,Oakland,CA,POINT (-122.255469828 37.807592762)
,03/29/2024 06:01:00 PM,24-015804,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26Y,1071 81ST AV,Oakland,CA,POINT (-122.184844009 37.753761996)
,02/24/2024 05:00:00 PM,24-904920,MAIL/ETC THEFT/ETC,30Y,7887 SUNKIST DRIVE,Oakland,CA,POINT (-122.161776005 37.768355016)
,04/19/2024 10:43:00 PM,24-019393,CARRY LOADED FIREARM IN PUBLIC UNDER SPEC CIRCUMSTANCES,02X,800 12TH ST,Oakland,CA,POINT (-122.280363545 37.806316568)
NARCOTICS,03/01/2024 03:20:00 PM,24-010720,POSSESS/PURCHASE COCAINE BASE FOR SALE,23X,4200 BANCROFT AV,Oakland,CA,POINT (-122.214506977 37.774207009)
,03/25/2024 01:50:00 PM,24-906281,GRAND THEFT,05X,899 W GRAND AVE,Oakland,CA,POINT (-122.278653802 37.814376445)
STOLEN VEHICLE,03/17/2024 08:00:00 AM,24-013602,VEHICLE THEFT - AUTO,77X,4200 LINDEN,Oakland,CA,POINT (-122.275748294 37.833712227)
,05/06/2024 04:00:00 AM,24-022302,SODOMY:USE FORCE/INJURY,30X,2694 74TH AVE,Oakland,CA,POINT (-122.172935001 37.767435982)
,02/26/2024 11:05:00 AM,24-904213,BURGLARY-AUTO,,300 MARKET ST,Oakland,CA,POINT (-122.283231962 37.800050009)
,04/30/2024 04:35:00 AM,24-021175,BURGLARY-FORCIBLE ENTRY,27Y,5800 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.200024976 37.765800002)
STOLEN VEHICLE,03/31/2024 03:00:00 AM,24-016049,VEHICLE THEFT - AUTO,02Y,715 PERALTA ST,Oakland,CA,POINT (-122.298201035 37.806571004)
,05/01/2024 09:00:00 AM,24-021564,VEHICLE THEFT - AUTO,29X,6185 MAURITANIA AV,Oakland,CA,POINT (-122.179874965 37.775641991)
STOLEN VEHICLE,02/26/2024 05:00:00 AM,24-010130,VEHICLE THEFT - AUTO,22X,1916 TIFFIN RD,Oakland,CA,POINT (-122.210517024 37.809062986)
,04/11/2024 01:00:00 PM,24-017870,BURGLARY-FORCIBLE ENTRY,28X,5016 CAMDEN ST,Oakland,CA,POINT (-122.191528996 37.780960015)
,05/05/2024 10:20:00 PM,24-022148,CARRY LOADED FIREARM:UNLAWFUL/PROHIBATED POSSESSION,35X,2407 90TH AVE,Oakland,CA,POINT (-122.16292838 37.7549476)
,04/16/2024 01:20:00 AM,24-018590,ROBBERY-FIREARM,27X,5500 BANCROFT AV,Oakland,CA,POINT (-122.197267545 37.771678159)
WEAPONS,03/04/2024 02:46:00 PM,24-011202,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,23X,4000 ALAMEDA AV,Oakland,CA,POINT (-122.223908958 37.769720008)
,05/04/2024 05:00:00 AM,24-907234,BURGLARY-AUTO,,PALOMA CALMAR AVE,Oakland,CA,POINT (-122.236080821 37.812589437)
,04/26/2024 03:30:00 AM,24-907044,BURGLARY-AUTO,,4690 TOMPKINS AVE,Oakland,CA,POINT (-122.184995973 37.78718802)
,05/17/2024 12:03:00 AM,24-024309,VEHICLE THEFT - AUTO,31Y,616 MC CLARY AV,Oakland,CA,POINT (-122.192925002 37.744375983)
DOMESTIC VIOLENCE,03/14/2024 10:51:00 PM,24-013087,INFLICT CRPL INJ SP/COHAB,26X,5901 OAKPORT ST,Oakland,CA,POINT (-122.210700211 37.752906967)
STOLEN VEHICLE,03/25/2024 08:03:00 AM,24-014944,VEHICLE THEFT - AUTO,23X,4200 ALAMEDA AV,Oakland,CA,POINT (-122.221920808 37.768189782)
,03/22/2024 12:00:00 AM,24-906114,VANDALISM,,TRESTLE GLEN ROAD,Oakland,CA,POINT (-122.222925699 37.810675746)
,05/14/2024 01:00:00 PM,24-024027,THEFT,31X,9929 PEARMAIN STREET,Oakland,CA,POINT (-122.180008992 37.737189004)
,04/18/2024 04:55:00 PM,24-906834,BURGLARY-AUTO,08X,100 GRAND AVE,Oakland,CA,POINT (-122.265295975 37.811476092)
ROBBERY,03/23/2024 03:10:00 AM,24-014563,CARJACKING WITH FIREARM,33X,85TH AV & SAN LEANDRO ST,Oakland,CA,POINT (-122.189085 37.747028981)
STOLEN VEHICLE,02/27/2024 08:28:00 PM,24-010247,VEHICLE THEFT - AUTO,25X,4474 MACARTHUR BLVD,Oakland,CA,POINT (-122.192391996 37.785865985)
,03/18/2024 10:45:00 PM,24-906009,VANDALISM,04X,410 21ST ST,Oakland,CA,POINT (-122.266994669 37.809988537)
,04/01/2024 07:20:00 PM,24-016225,CARRY CONCEALED WEAPON ON PERSON,31Y,100TH AVE AND E STREET,Oakland,CA,POINT (-122.175301966 37.739598005)
OTHER,04/29/2024 06:00:00 AM,24-021041,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,10Y,6101 MARTIN LUTHER KING JR WY,Oakland,CA,POINT (-122.271183375 37.846057223)
,04/04/2024 10:20:00 AM,24-906007,BURGLARY-AUTO,12Y,6243 COLLEGE AVE,Oakland,CA,POINT (-122.252425633 37.850075575)
,04/20/2024 11:34:00 PM,24-019413,BURGLARY-FORCIBLE ENTRY,08X,640 GRAND AV,Oakland,CA,POINT (-122.249100442 37.809947479)
FELONY ASSAULT,05/09/2024 02:45:00 AM,24-022827,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,22Y,2937 GEORGIA ST,Oakland,CA,POINT (-122.206927977 37.796914004)
,04/03/2024 08:50:00 PM,24-906797,VANDALISM,12X,4075 TELEGRAPH AVE,Oakland,CA,POINT (-122.264572001 37.829837994)
,05/02/2024 02:26:00 PM,24-021606,VEHICLE THEFT - AUTO,13Z,2162 MOUNTAIN BLVD,Oakland,CA,POINT (-122.208496985 37.824124008)
BURG - AUTO,03/20/2024 01:40:00 AM,24-905191,BURGLARY-AUTO,16Y,1544 EVERETT AV,Oakland,CA,POINT (-122.217054992 37.807014993)
,03/22/2024 10:00:00 PM,24-018301,VEHICLE THEFT - AUTO,16Y,3946 RANDOLPH AV,Oakland,CA,POINT (-122.223641995 37.805149014)
,05/17/2024 11:45:00 PM,24-907737,BURGLARY-AUTO,01X,229 BROADWAY,Oakland,CA,POINT (-122.276432981 37.796523994)
,04/13/2024 08:30:00 PM,24-018276,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,22X,3500 FRUITVALE AVENUE,Oakland,CA,POINT (-122.216019226 37.800454667)
STOLEN VEHICLE,03/20/2024 04:00:00 PM,24-014268,VEHICLE THEFT - AUTO,04X,1901 HARRISON ST,Oakland,CA,POINT (-122.265640023 37.806788011)
STOLEN VEHICLE,04/18/2024 10:07:00 AM,24-019107,VIOLATION OF PROBATION-FELONY,31Z,10300 KNIGHT ST,Oakland,CA,POINT (-122.181245237 37.729577935)
PETTY THEFT,03/03/2024 12:28:00 PM,24-011011,THEFT,19X,2301 EMBARCADERO,Oakland,CA,POINT (-122.238261829 37.775321732)
,03/21/2024 09:13:00 PM,24-014358,VEHICLE THEFT - AUTO,05X,1232 19TH ST,Oakland,CA,POINT (-122.286572988 37.81401602)
STOLEN VEHICLE,03/22/2024 03:46:00 PM,24-014531,VEHICLE THEFT - AUTO,10Y,831 54TH ST,Oakland,CA,POINT (-122.27079196 37.838540002)
BURG - AUTO,03/13/2024 07:30:00 PM,24-904642,BURGLARY-AUTO,14X,225 MONTECITO AV,Oakland,CA,POINT (-122.258355982 37.812697002)
,04/20/2024 06:03:00 PM,24-019514,BATTERY,30X,7630 LOCKWOOD ST,Oakland,CA,POINT (-122.179040966 37.761253993)
,04/11/2024 02:00:00 PM,24-907566,BURGLARY-NO FORCE,25X,4733 WILKIE ST,Oakland,CA,POINT (-122.184809978 37.786651998)
ARSON,03/20/2024 02:20:00 AM,24-014388,MAL SET/ETC FIRE PROP/ETC,30X,6714 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.191301008 37.76152498)
,03/21/2024 10:00:00 AM,24-014304,VEHICLE THEFT - AUTO,16Y,1573 EXCELSIOR AV,Oakland,CA,POINT (-122.224013983 37.801799983)
,03/27/2024 09:07:00 PM,24-906467,VANDALISM,15X,243 ATHOL AVE,Oakland,CA,POINT (-122.250288987 37.801093011)
,03/13/2024 07:30:00 PM,24-905399,BURGLARY-AUTO,19X,350 EMBARCADERO,Oakland,CA,POINT (-122.261246782 37.79061696)
,04/16/2024 02:25:00 AM,24-907620,VANDALISM,15X,2122 LAKESHORE AVE,Oakland,CA,POINT (-122.250447991 37.804603017)
,04/07/2024 03:20:00 PM,24-017087,VEHICLE THEFT - AUTO,13Z,6846 SARONI DR,Oakland,CA,POINT (-122.199862032 37.834530979)
,04/08/2024 12:00:00 AM,24-017209,VEHICLE THEFT - AUTO,12X,4690 TOMKINS AV,Oakland,CA,POINT (-122.184995973 37.78718802)
BURG - RESIDENTIAL,03/01/2024 04:00:00 PM,24-010801,GRAND THEFT,13Y,5533 THORNHILL DR,Oakland,CA,POINT (-122.215167974 37.832445017)
BURG - RESIDENTIAL,03/06/2024 02:09:00 PM,24-011715,BURGLARY-FORCIBLE ENTRY,35Y,4040 OAK HILL RD,Oakland,CA,POINT (-122.141778042 37.760072019)
,04/02/2024 07:57:00 AM,24-016280,SC UNEXPLAINED DEATH,35Y,9450 MOUNTAIN BLVD,Oakland,CA,POINT (-122.14721203 37.75835398)
FELONY ASSAULT,02/24/2024 02:02:00 AM,24-009662,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,24X,2100 HARRINGTON AV,Oakland,CA,POINT (-122.214359242 37.78272329)
STOLEN VEHICLE,02/24/2024 06:00:00 PM,24-009999,VEHICLE THEFT - AUTO,30X,1903 73RD AV,Oakland,CA,POINT (-122.18291198 37.762308981)
,02/29/2024 08:30:00 PM,24-903985,VANDALISM,04X,1800 SAN PABLO AVE,Oakland,CA,POINT (-122.27218696 37.808049991)
ROBBERY,03/08/2024 02:39:00 PM,24-012018,ROBBERY-FIREARM,30X,2049 81ST AV,Oakland,CA,POINT (-122.171988013 37.760539017)
,05/15/2024 10:30:00 AM,24-023983,POSS STOLEN VEH/VES/ETC,27X,1600 BLOCK OF HIGH ST.,Oakland,CA,POINT (-122.21280884 37.773804312)
,04/06/2024 08:27:00 AM,24-016901,TRESPASS:OCCUPY PROPERTY W/O CONSENT,01X,200 BROADWAY,Oakland,CA,POINT (-122.275683974 37.796252001)
MISDEMEANOR ASSAULT,02/27/2024 05:14:00 PM,24-010211,BATTERY,26Y,7515 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.185389 37.758042006)
STOLEN VEHICLE,02/25/2024 09:00:00 AM,24-009888,VEHICLE THEFT - AUTO,22Y,3000 JOAQUIN MILLER RD,Oakland,CA,POINT (-122.193278705 37.810600268)
,03/15/2024 12:00:00 PM,24-016320,VEHICLE THEFT - AUTO,32Y,9944 VOLTAIRE AV,Oakland,CA,POINT (-122.157037967 37.746150013)
,04/05/2024 06:38:00 PM,24-906561,THEFT,12Y,5110 TELEGRAPH AVE,Oakland,CA,POINT (-122.261943017 37.837435979)
,04/10/2024 04:00:00 AM,24-907486,VANDALISM,13Z,6777 MOORE DRIVE,Oakland,CA,POINT (-122.19116497 37.833288991)
,04/21/2024 04:20:00 PM,24-019650,BATTERY,26X,5401 COLISEUM WY,Oakland,CA,POINT (-122.212188962 37.760623003)
VANDALISM,03/02/2024 11:25:00 AM,24-904096,VANDALISM,07X,3535 HOLLIS ST,Oakland,CA,POINT (-122.28542098 37.828071005)
,03/16/2024 03:30:00 PM,24-013370,BATTERY,09X,210 40TH STREET WY,Oakland,CA,POINT (-122.254925017 37.827225019)
MISDEMEANOR ASSAULT,05/09/2024 02:54:00 PM,24-022910,BATTERY,33X,978 88TH AV,Oakland,CA,POINT (-122.182337987 37.747805984)
WEAPONS,03/08/2024 11:57:00 PM,24-011887,CARRY CONCEALED WEAPON ON PERSON,06X,900 BROCKHURST ST,Oakland,CA,POINT (-122.275159598 37.823174695)
ROBBERY,03/31/2024 08:45:00 AM,24-016363,ROBBERY-FIREARM,26X,E 12TH ST & 51ST AV,Oakland,CA,POINT (-122.209930039 37.767140017)
,03/19/2024 12:30:00 AM,24-013947,VEHICLE THEFT - AUTO,34X,8907 OLIVE ST,Oakland,CA,POINT (-122.168110964 37.753277019)
,03/09/2024 10:00:00 AM,24-012186,VANDALISM-$400+,10X,1080 STANFORD AV,Oakland,CA,POINT (-122.282009964 37.841728017)
,04/29/2024 04:43:00 AM,24-021016,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,29X,2530 SEMINARY AVE,Oakland,CA,POINT (-122.190789041 37.771094012)
,04/02/2024 08:09:00 PM,24-016379,MISD-CARRY LOADED HANDGUN: NOT REGISTERED OWNER,19X,1544 13TH AVE,Oakland,CA,POINT (-122.24542698 37.790893995)
,03/30/2024 12:00:00 AM,24-015824,VANDALISM,30X,7630 LOCKWOOD ST,Oakland,CA,POINT (-122.179040966 37.761253993)
,04/29/2024 06:30:00 PM,24-907140,BURGLARY-AUTO,,GRAND AVE,Oakland,CA,POINT (-122.258094493 37.809225707)
,03/31/2024 06:37:00 AM,24-015982,VEHICLE THEFT - AUTO,25X,3300 GEORGIA ST,Oakland,CA,POINT (-122.202687991 37.794883991)
,04/25/2024 11:00:00 AM,24-020643,THEFT,29X,3915 EDGEMOOR PLACE,Oakland,CA,POINT (-122.170226975 37.775963018)
STOLEN VEHICLE,03/01/2024 09:00:00 PM,24-010847,VEHICLE THEFT - AUTO,04X,1411 ALICE ST,Oakland,CA,POINT (-122.266565972 37.802893989)
,04/16/2024 09:45:00 PM,24-019099,DISTURB THE PEACE,10Y,863 STANFORD AV,Oakland,CA,POINT (-122.273731996 37.844780999)
,05/11/2024 05:30:00 PM,24-023274,SC UNEXPLAINED DEATH,14X,468 PERKINS ST,Oakland,CA,POINT (-122.25596496 37.808230998)
,05/17/2024 10:30:00 AM,24-024712,VEHICLE THEFT - AUTO,14X,265 LENOX AVE,Oakland,CA,POINT (-122.25836604 37.81197599)
STOLEN VEHICLE,04/05/2024 10:00:00 PM,24-016879,VEHICLE THEFT - AUTO,04X,1901 SAN PABLO AV,Oakland,CA,POINT (-122.273160015 37.809190013)
,04/17/2024 07:50:00 AM,24-018899,VEHICLE THEFT - AUTO,27Y,5330 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.205807043 37.768164897)
DOMESTIC VIOLENCE,03/06/2024 12:00:00 PM,24-011515,VANDALISM [UNDER $400],30Y,2654 74TH AV,Oakland,CA,POINT (-122.173786015 37.766824983)
,05/06/2024 09:59:00 PM,24-022354,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",14X,520 VAN BUREN AV,Oakland,CA,POINT (-122.251011004 37.811692011)
PETTY THEFT,03/04/2024 05:00:00 AM,24-011241,THEFT,26Y,6900 SNELL ST,Oakland,CA,POINT (-122.198137804 37.755543553)
,03/28/2024 09:31:00 AM,24-015555,VEHICLE THEFT - AUTO,20X,1301 -  30TH AVE.,Oakland,CA,POINT (-122.229126022 37.77846401)
,03/07/2024 11:50:00 PM,24-904877,BURGLARY-AUTO,,23RD ST,Oakland,CA,POINT (-122.275037478 37.813533998)
STOLEN VEHICLE,03/22/2024 01:15:00 PM,24-014472,VEHICLE THEFT - AUTO,06X,APGAR ST & W MACARTHUR BLVD,Oakland,CA,POINT (-122.278112404 37.828695306)
MISDEMEANOR ASSAULT,03/29/2024 11:25:00 PM,24-015822,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,34X,9514 PLYMOUTH ST,Oakland,CA,POINT (-122.168543859 37.747799271)
MISDEMEANOR ASSAULT,04/08/2024 11:00:00 PM,24-017303,BATTERY,21Y,3124 FRUITVALE AV,Oakland,CA,POINT (-122.217414995 37.796263987)
,04/29/2024 02:19:00 AM,24-020966,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,26Y,1304 62ND AV,Oakland,CA,POINT (-122.199011018 37.762508009)
NARCOTICS,05/20/2024 01:45:00 AM,24-024816,POSSESS MARIJUANA/HASHISH FOR SALE,30X,1925 82ND AV,Oakland,CA,POINT (-122.173628687 37.758559232)
,05/12/2024 03:36:00 AM,24-023521,BURGLARY-NO FORCE,03X,411 13TH ST,Oakland,CA,POINT (-122.270637654 37.803170834)
,05/02/2024 12:02:00 AM,24-021504,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,20X,2600 BLK OF E.16TH ST,Oakland,CA,POINT (-122.230312833 37.782718874)
STOLEN VEHICLE,03/23/2024 12:55:00 PM,24-014701,VEHICLE THEFT - AUTO,18X,2150 E 20TH ST,Oakland,CA,POINT (-122.234028011 37.78902701)
,03/04/2024 12:00:00 AM,24-905267,ATTEMPT VEHICLE THEFT-AUTO,08X,471 26TH ST,Oakland,CA,POINT (-122.268024417 37.815373395)
,03/15/2024 02:30:00 PM,24-014084,VEHICLE THEFT - AUTO,24X,2286 35TH AV,Oakland,CA,POINT (-122.213850004 37.785761001)
BURG - COMMERCIAL,03/03/2024 06:45:00 PM,24-011067,ATTEMPTED BURGLARY,26X,4701 COLISEUM WY,Oakland,CA,POINT (-122.21750904 37.765506007)
,04/03/2024 08:40:00 PM,24-016657,VANDALISM,12X,4075 TELEGRAPH AVE,Oakland,CA,POINT (-122.264572001 37.829837994)
,05/08/2024 03:30:00 PM,24-023830,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",24X,E/B 580 HIGH ST OFF RAMP,Oakland,CA,POINT (-122.221503174 37.76724317)
DOMESTIC VIOLENCE,03/04/2024 10:07:00 AM,24-011144,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,24X,2022 36TH AV,Oakland,CA,POINT (-122.216226022 37.782169021)
,04/12/2024 10:00:00 AM,24-907451,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,15X,777 BROOKLYN AVE,Oakland,CA,POINT (-122.244057686 37.802996919)
,04/02/2024 08:00:00 AM,24-016344,VEHICLE THEFT - AUTO,10Y,4146 MARTIN LUTHER KING JR WY,Oakland,CA,POINT (-122.268031894 37.831209988)
,05/19/2024 12:00:00 AM,24-907861,THEFT,04X,1550 JACKSON ST,Oakland,CA,POINT (-122.264050512 37.80376321)
,05/14/2024 04:54:00 AM,24-023716,BURGLARY-FORCIBLE ENTRY,23X,4021 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.217842975 37.773324981)
,05/16/2024 01:15:00 AM,24-024060,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,29X,6211 FOOTHILL BLVD,Oakland,CA,POINT (-122.186416035 37.770803998)
,04/29/2024 07:20:00 PM,24-021129,ATTEMPT THEFT,14Y,3500 GRAND AVE,Oakland,CA,POINT (-122.245770973 37.814180012)
,03/30/2024 06:00:00 AM,24-906644,VANDALISM,05Y,1515 WOOD ST,Oakland,CA,POINT (-122.298183014 37.814404018)
STOLEN VEHICLE,03/12/2024 07:00:00 PM,24-012704,VEHICLE THEFT - AUTO,01X,200 CLAY ST,Oakland,CA,POINT (-122.278537506 37.797253169)
,03/24/2024 09:30:00 AM,24-014720,GRAND THEFT,32X,10800 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.16524934 37.737533417)
,04/10/2024 05:10:00 PM,24-017741,THREAT CRIME:INT:TERRORIZE,18X,2130 17TH AVE,Oakland,CA,POINT (-122.238025882 37.792945481)
,04/09/2024 04:00:00 PM,24-017529,BURGLARY-FORCIBLE ENTRY,99X,151 LELAND AVE,Oakland,CA,POINT (-122.258872289 37.813455214)
FELONY ASSAULT,03/21/2024 08:58:00 PM,24-014473,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,21X,2226 25TH AV,Oakland,CA,POINT (-122.226923007 37.787669016)
,05/01/2024 10:35:00 AM,24-021387,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,32X,101S T AV&INTERNATIONAL BLVD,Oakland,CA,POINT (-122.168808003 37.742116893)
,03/26/2024 01:00:00 AM,24-906358,VANDALISM,28X,4722 ALLENDALE AVE,Oakland,CA,POINT (-122.19937102 37.780714006)
STOLEN VEHICLE,02/27/2024 04:40:00 AM,24-010232,VEHICLE THEFT - AUTO,25X,3849 REDDING ST,Oakland,CA,POINT (-122.199213185 37.790633018)
,04/20/2024 08:17:00 AM,24-019440,CARJACKING WITH FIREARM,07X,27TH ST AND MARKET ST,Oakland,CA,POINT (-122.277550037 37.8175)
,04/23/2024 12:00:00 PM,24-019984,POSS/ETC FIREARM W/PR VIOLENT OFFENSE CONVICTION,03X,1150 CLAY ST,Oakland,CA,POINT (-122.27428998 37.803451008)
,04/03/2024 04:50:00 PM,24-906053,BURGLARY-AUTO,08X,80 GRAND AVE,Oakland,CA,POINT (-122.265663904 37.811501062)
,04/09/2024 05:10:00 PM,24-907548,MAIL/ETC THEFT/ETC,06X,980 W MACARTHUR BOULEVARD,Oakland,CA,POINT (-122.276919969 37.828634017)
STOLEN VEHICLE,05/04/2024 07:00:00 PM,24-022069,VEHICLE THEFT - OTHER VEHICLES,30Y,2690 78TH AV,Oakland,CA,POINT (-122.170906999 37.76515602)
,05/07/2024 08:30:00 PM,24-022779,VEHICLE THEFT - AUTO,17X,1298 E 34TH ST,Oakland,CA,POINT (-122.232303015 37.801859997)
,03/06/2024 07:30:00 PM,24-904267,VANDALISM,12X,520 49TH ST,Oakland,CA,POINT (-122.263347992 37.836010008)
BRANDISHING,03/06/2024 04:11:00 PM,24-011564,EXHIBIT FIREARM,32X,10151 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.168630977 37.741305985)
,04/10/2024 01:38:00 AM,24-017593,DISORDERLY CONDUCT:INTOX DRUG WITH ALCOHOL,27Y,5309 BANCROFT AV,Oakland,CA,POINT (-122.202828754 37.7717027)
,04/08/2024 12:19:00 AM,24-017152,BATTERY,04X,17T H ST&BROADWAY,Oakland,CA,POINT (-122.269740031 37.806639987)
,04/27/2024 10:28:00 PM,24-020799,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,23X,4029 17TH ST,Oakland,CA,POINT (-122.216144969 37.775748986)
,03/22/2024 08:00:00 PM,24-906221,VANDALISM,14Y,3343 LAKESHORE AVE,Oakland,CA,POINT (-122.243409638 37.811021818)
,05/03/2024 06:30:00 AM,24-021696,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,09X,250 WHITMORE ST,Oakland,CA,POINT (-122.251000024 37.833366984)
,04/17/2024 04:14:00 AM,24-018885,EXHIBIT FIREARM,17Y,1333 E 23RD ST,Oakland,CA,POINT (-122.238491961 37.795219979)
STOLEN VEHICLE,02/23/2024 06:00:00 PM,24-009687,VEHICLE THEFT - AUTO,12Y,5100 CLARKE ST,Oakland,CA,POINT (-122.260761867 37.837239436)
,03/12/2024 09:32:00 AM,24-012604,SC UNEXPLAINED DEATH,14Y,377 SANTA CLARA AV,Oakland,CA,POINT (-122.248797008 37.813332015)
,05/21/2024 12:45:00 AM,24-907889,THEFT,17Y,2400 PARK BOULEVARD,Oakland,CA,POINT (-122.243694021 37.80162501)
,03/11/2024 09:18:00 PM,24-012554,VEHICLE THEFT - AUTO,19X,1103 EMBARCADERO,Oakland,CA,POINT (-122.25265897 37.788101983)
DOMESTIC VIOLENCE,02/25/2024 08:20:00 AM,24-009830,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,12X,559 44TH ST,Oakland,CA,POINT (-122.265225035 37.83230198)
,04/22/2024 12:00:00 AM,24-019863,ROBBERY-FIREARM,17X,847 E18TH ST,Oakland,CA,POINT (-122.247083998 37.795442016)
,04/02/2024 08:30:00 AM,24-016293,GRAND THEFT,O,17T H ST&LAKESIDE DR,Oakland,CA,POINT (-122.261180013 37.80373)
ROBBERY,03/09/2024 11:20:00 AM,24-012148,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",22X,3550 FRUITVALE AV,Oakland,CA,POINT (-122.215338965 37.801258009)
MISDEMEANOR ASSAULT,03/29/2024 11:25:00 AM,24-015783,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,29X,5956 MACARTHUR BLVD,Oakland,CA,POINT (-122.183016727 37.776012214)
,04/03/2024 10:20:00 AM,24-018603,DISTURB THE PEACE,27X,5540 E.17TH ST,Oakland,CA,POINT (-122.199989018 37.768614016)
,03/21/2024 10:14:00 AM,24-014266,BATTERY,34X,2125 92ND AVE,Oakland,CA,POINT (-122.165778029 37.752764005)
RECOVERED O/S STOLEN,04/05/2024 09:36:00 AM,24-016756,VEHICLE THEFT - AUTO,26X,4300 JENSEN ST,Oakland,CA,POINT (-122.221327616 37.767376279)
,05/15/2024 06:00:00 PM,24-024117,VEHICLE THEFT - AUTO,34X,3301 MORCOM AVE,Oakland,CA,POINT (-122.190150005 37.781376009)
,03/19/2024 05:40:00 PM,24-904926,BURGLARY-AUTO,22Y,3180 JOAQUIN MILLER ROAD,Oakland,CA,POINT (-122.192145985 37.810164792)
BURG - AUTO,03/15/2024 10:20:00 AM,24-013158,ATTEMPTED BURGLARY-AUTO,27Y,5700 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.201144966 37.766208997)
DOMESTIC VIOLENCE,05/07/2024 10:30:00 PM,24-022599,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,31Y,437 HALE AV,Oakland,CA,POINT (-122.181085982 37.733042979)
,05/13/2024 11:05:00 AM,24-023534,VANDALISM,26Y,1045 76TH AVE,Oakland,CA,POINT (-122.190320996 37.754816985)
MISDEMEANOR ASSAULT,03/22/2024 08:20:00 PM,24-014535,BATTERY,33X,967 88TH AV,Oakland,CA,POINT (-122.182712619 37.747931054)
,05/04/2024 01:59:00 AM,24-021848,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,26Y,7425 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.186226017 37.758490982)
STOLEN VEHICLE,02/23/2024 10:00:00 PM,24-010014,VEHICLE THEFT - AUTO,03X,405 12TH ST,Oakland,CA,POINT (-122.270976737 37.802466258)
,03/27/2024 08:00:00 PM,24-017452,VEHICLE THEFT - AUTO,03Y,563 WESTFIELD WAY,Oakland,CA,POINT (-122.178969971 37.798499986)
,03/24/2024 11:30:00 PM,24-905378,GRAND THEFT,33X,9415 INTERNATIONAL BOULEVARD,Oakland,CA,POINT (-122.17262596 37.746768011)
,02/25/2024 06:50:00 AM,24-903951,VANDALISM,28X,5470 CAMDEN ST,Oakland,CA,POINT (-122.188315961 37.77812601)
